Class,Organ,Dice,Dice_Std,IoU,IoU_Std,HD95,HD95_Std,Samples
1,Aorta,0.8442703714260905,0.2450776729181318,0.7824055191057772,0.24766058666253601,13.54155977719784,23.317824941958442,327
2,Gallbladder,0.8542042521047843,0.20381350976624954,0.7820186259312029,0.20846749284124508,8.028156905472228,14.397226304832023,350
3,Kidney (L),0.8503170757947278,0.20666888688206358,0.7768839707014047,0.21080243767696863,6.223715499405739,10.958568526021951,354
4,Kidney (R),0.3313770123017688,0.35815892362102447,0.2635965256186927,0.30533552753577264,5.646185269980242,6.088032546246358,124
5,Liver,0.6165336967378823,0.23010533752641757,0.48085129516683667,0.21477970702810048,4.282379966501524,5.208467489311255,272
6,Pancreas,0.8774985005746203,0.21681370776322922,0.8247256517403578,0.2253307664637372,22.312628094946312,26.623569176873914,584
7,Spleen,0.6093328896558442,0.3214722883447779,0.5079656567913184,0.30669759465894453,24.44391159032636,22.498937206268664,372
8,Stomach,0.8525476196929112,0.125152077171196,0.759102301902104,0.15075184503374822,4.39592775235933,8.86453206802695,803
9,Class_9,0.7220603676805164,0.21686499061184708,0.6019616834042169,0.22134450878371337,5.220010935271965,7.531471905026894,739
10,Class_10,0.45643942750041927,0.23753863958343185,0.32490311669935906,0.19200009054040573,27.94888938360172,21.874290439307856,192
11,Class_11,0.4160454841068687,0.2724135042787215,0.300449530017697,0.22212658368696556,19.629484124340113,17.016600980938673,295
12,Class_12,0.20429676405725,0.2347442328173202,0.1351919138316483,0.1648469456084305,3.343164407948093,3.835640836981216,126
13,Class_13,0.15277262171145695,0.21838674575311506,0.1005965972151352,0.15228161827581732,4.2434740599290945,6.2031922886023425,150
